Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,Ploidy,CladesOrg,Abbreviation,VcfName,Clades
RM11-1a,AAA,Zinfandel vineyard,Wine,"California, USA",1,1. Wine/European ,01.W,AAA.variant,1.Wine/European
CBS422a,AAB,Beer,Beer,"Odessa, Ukraine",1,7. Mosaic beer ,07.M,AAB.variant,7.Mosaicbeer
CBS2165a,AAC,Brewers,Beer,England,2,11. Ale beer ,11.A,AAC.variant,11.Alebeer
CBS436a,AAD,Moto (sake yeast starter),Sake,Japan,2,25. Sake ,25.S,AAD.variant,25.Sake
CBS2806a,AAE,Wine,Wine,Slovakia,1,1. Wine/European (subclade 4),01.W4,AAE.variant,1.Wine/European(subclade4)
CBS428a,AAG,Unknown,Unknown,NA,1,M3. Mosaic region 3,M3.M,AAG.variant,M3.Mosaicregion3
CBS1388a,AAH,Unknown,Unknown,NA,1,Unclustered,unk,AAH.variant,Unclustered
CBS2966a,AAI,Distillery,Distillery,Denmark,1,1. Wine/European ,01.W,AAI.variant,1.Wine/European
CBS4093a,AAK,Film on white wine,Wine,Spain,1,1. Wine/European (subclade 4),01.W4,AAK.variant,1.Wine/European(subclade4)
CBS1236-a,AAL,Bakery,Bakery,France,2,8. Mixed origin ,08.M,AAL.variant,8.Mixedorigin
CLIB192_1b,AAM,Bakery,Bakery,France,1,8. Mixed origin ,08.M,AAM.variant,8.Mixedorigin
CLIB274_1,AAN,Bakery,Bakery,Czech Republic,2,8. Mixed origin ,08.M,AAN.variant,8.Mixedorigin
CLIB326_1,AAP,Bakery,Bakery,Australia,2,8. Mixed origin ,08.M,AAP.variant,8.Mixedorigin
CLIB272_2,AAQ,Beer,Beer,USA,1,7. Mosaic beer ,07.M,AAQ.variant,7.Mosaicbeer
CLIB382_1b,AAR,Beer,Beer,Ireland,1,7. Mosaic beer ,07.M,AAR.variant,7.Mosaicbeer
YJM145_b,AAS,AIDS patient,"Human, clinical",USA,1,M3. Mosaic region 3,M3.M,AAS.variant,M3.Mosaicregion3
YJM280_b,AAT,Peritoneal fluid,"Human, clinical",USA,1,M3. Mosaic region 3,M3.M,AAT.variant,M3.Mosaicregion3
YJM320b,AAV,Blood,"Human, clinical","California, USA",1,M3. Mosaic region 3,M3.M,AAV.variant,M3.Mosaicregion3
YJM326_b,ABA,"Human, clinical ","Human, clinical","California, USA",1,M3. Mosaic region 3,M3.M,ABA.variant,M3.Mosaicregion3
YJM413_b,ABB,Blood,"Human, clinical",USA,1,26. Asian fermentation ,26.A,ABB.variant,26.Asianfermentation
YJM421_b,ABC,Ascites fluid,"Human, clinical",USA,1,M3. Mosaic region 3,M3.M,ABC.variant,M3.Mosaicregion3
YJM428_1b,ABD,Paracenteis fluid,"Human, clinical","California, USA",2,M3. Mosaic region 3,M3.M,ABD.variant,M3.Mosaicregion3
YJM434_1b,ABE,"Human, clinical ","Human, clinical",NA,1,1. Wine/European ,01.W,ABE.variant,1.Wine/European
YJM436_1b,ABF,Mouth,"Human, clinical",NA,1,M3. Mosaic region 3,M3.M,ABF.variant,M3.Mosaicregion3
YJM440_1b,ABG,"Human, clinical ","Human, clinical",NA,1,M3. Mosaic region 3,M3.M,ABG.variant,M3.Mosaicregion3
YJM454_1b,ABH,"Human, clinical ","Human, clinical",NA,1,M3. Mosaic region 3 ,M3.M,ABH.variant,M3.Mosaicregion3
YJM653_1b,ABI,Brochoalveolar lavage,"Human, clinical",USA,1,M3. Mosaic region 3,M3.M,ABI.variant,M3.Mosaicregion3
YJM678_1b,ABK,Unknown,"Human, clinical",NA,1,M3. Mosaic region 3,M3.M,ABK.variant,M3.Mosaicregion3
CBS2888_1b,ABL,Soil,Soil,South Africa,1,Unclustered,unk,ABL.variant,Unclustered
CBS3093_1b,ABM,Alpechin (waste from olive oil production),Industrial,Spain,1,2. Alpechin ,02.A,ABM.variant,2.Alpechin
CECT10109_1b,ABP,Prickly pear,Fruit,Spain,1,1. Wine/European ,01.W,ABP.variant,1.Wine/European
DBVPG1788_1b,ABQ,Soil,Soil,Finland,1,1. Wine/European ,01.W,ABQ.variant,1.Wine/European
DBVPG1794_1b,ABR,Soil,Soil,Finland,1,1. Wine/European ,01.W,ABR.variant,1.Wine/European
DBVPG3591_1b,ABS,Cocoa beans,Nature,NA,1,1. Wine/European ,01.W,ABS.variant,1.Wine/European
DBVPG4651_1b,ABT,Tuber magnatum,Nature,Italy,1,1. Wine/European ,01.W,ABT.variant,1.Wine/European
DBVPG6861,ABV,Poluted stream,Water,"Tijuca forest, Rio de Janeiro, Brazil",3,8. Mixed origin ,08.M,ABV.variant,8.Mixedorigin
EM93_3,ACA,Rotting fig,Fruit,"California, USA",1,M3. Mosaic region 3,M3.M,ACA.variant,M3.Mosaicregion3
