Strain	VcfName	Location	Country	Continent	Type	Source	Population
10560-6B	10560-6B.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
310	310.SRA.DIS.variant	Parco del Monte Subasio  Italy	Italy	Europe	Wild	Quercus cerris	Med/oak
4124-S60	4124-S60.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Molasses Distillery	Asia/sake
A.1007	A.1007.SRA.DIS.variant	Germany	Germany	Europe	Domesticated	Commercial Ale	Ale 2
A.1187	A.1187.SRA.DIS.variant	Britain	Britain	Europe	Domesticated	Commercial Ale	Ale 1
A.1728	A.1728.SRA.DIS.variant	Scotland	Scotland	Europe	Domesticated	Commercial Ale	Ale 1
A.1945	A.1945.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Ale 1
A.1968	A.1968.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Ale 1
A.2565	A.2565.SRA.DIS.variant	Germany	Germany	Europe	Domesticated	Commercial Ale	Ale 2
A.3942	A.3942.SRA.DIS.variant	Belgium	Belgium	Europe	Domesticated	Commercial Wheat	Ale 2
A.BRY-97	A.BRY-97.SRA.DIS.variant	American	American	North America	Domesticated	Commercial Ale	Beer/baking
A.Coopers	A.Coopers.SRA.DIS.variant	Australia	Australia	Australia	Domesticated	Commercial Ale	Beer/baking
A.Munich	A.Munich.SRA.DIS.variant	Germany	Germany	Europe	Domesticated	Commercial Wheat	Ale 1
A.Muntons	A.Muntons.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Beer/baking
A.Nottingham	A.Nottingham.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Ale 1
A.S-04	A.S-04.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Ale 1
A.S-33	A.S-33.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Beer/baking
A.T-58	A.T-58.SRA.DIS.variant	Belgium	Belgium	Europe	Domesticated	Commercial Ale	Beer/baking
A.US-05	A.US-05.SRA.DIS.variant	American	American	North America	Domesticated	Commercial Ale	Ale 1
A.WB-06	A.WB-06.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Wheat	Europe/wine
A.Windson	A.Windson.SRA.DIS.variant	England	England	Europe	Domesticated	Commercial Ale	Beer/baking
ABM1	ABM1.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Baking	Beer/baking
ABM2	ABM2.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Baking	Beer/baking
ABM3	ABM3.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Baking	Beer/baking
ABM4	ABM4.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Baking	Beer/baking
ABM5	ABM5.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Baking	Beer/baking
AN1f2	AN1f2.SRA.DIS.variant	Halkidiki, Greece	Greece	Europe	Wild	Ficus carica	Asia/sake
AN1g2	AN1g2.SRA.DIS.variant	Halkidiki, Greece	Greece	Europe	Wild	Ficus carica	Asia/sake
AN3e1	AN3e1.SRA.DIS.variant	Halkidiki, Greece	Greece	Europe	Wild	Ficus carica	Europe/wine
AWRI1631	AWRI1631.asm.ASM.DIS.variant	South Africa	South_Africa	Africa	Domesticated	Commercial wine yeast	Europe/wine
AWRI796	AWRI796.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial wine yeast	Europe/wine
BC187	BC187.asm.ASM.DIS.variant	CA  USA	USA	North America	Domesticated	Wine must	Europe/wine
