"group"	"color"	"fill"	"shape"	"pop"
"1.Wine/European"	"#D55E00"	"#D55E00"	1	"01.W"
"1.Wine/European(subclade1)"	"#D55E00"	"#D55E00"	0	"01.W1"
"1.Wine/European(subclade2)"	"#D55E00"	"#D55E00"	2	"01.W2"
"1.Wine/European(subclade3)"	"#D55E00"	"#D55E00"	4	"01.W3"
"1.Wine/European(subclade4)"	"#D55E00"	"#D55E00"	3	"01.W4"
"2.Alpechin"	"#009E73"	"#009E73"	2	"02.A"
"3.Brazilianbioethanol"	"#F0E442"	"#F0E442"	17	"03.B"
"4.Mediterraneanoak"	"#009E73"	"#009E73"	1	"04.M"
"5.Frenchdairy"	"#009E73"	"#009E73"	3	"05.F"
"6.Africanbeer"	"#0072B2"	"#0072B2"	2	"06.A"
"7.Mosaicbeer"	"#0072B2"	"#0072B2"	4	"07.M"
"8.Mixedorigin"	"#E69F00"	"#E69F00"	19	"08.M"
"9.Mexicanagave"	"#F0E442"	"#F0E442"	3	"09.M"
"10.FrenchGuianahuman"	"#F0E442"	"#F0E442"	19	"10.F"
"11.Alebeer"	"#56B4E9"	"#56B4E9"	1	"11.A"
"12.WestAfricancocoa"	"black"	"black"	1	"12.W"
"13.Africanpalmwine"	"black"	"black"	6	"13.A"
"14.CHNIII"	"black"	"black"	4	"14.C"
"15.CHNII"	"black"	"black"	13	"15.C"
"16.CHNI"	"black"	"black"	8	"16.C"
"17.Taiwanese"	"black"	"black"	2	"17.T"
"18.FarEastAsia"	"black"	"black"	3	"18.F"
"19.Malaysian"	"black"	"black"	0	"19.M"
"20.CHNV"	"black"	"black"	12	"20.C"
"21.Ecuadorean"	"#F0E442"	"#F0E442"	1	"21.E"
"22.FarEastRussian"	"black"	"black"	5	"22.R"
"23.NorthAmericanoak"	"#009E73"	"#009E73"	19	"23.N"
"24.Asianislands"	"black"	"black"	9	"24.A"
"25.Sake"	"#009E73"	"#009E73"	0	"25.S"
"26.Asianfermentation"	"#009E73"	"#009E73"	15	"26.A"
"Jean_Talon"	"black"	"black"	19	"Jean-Talon"
"M1.Mosaicregion1"	"#CC79A7"	"#CC79A7"	1	"M1.M"
"M2.Mosaicregion2"	"#CC79A7"	"#CC79A7"	2	"M2.M"
"M3.Mosaicregion3"	"#CC79A7"	"#CC79A7"	0	"M3.M"
"Unclustered"	"grey"	"grey"	1	"unk"
