"VcfName","Pop"
"AAA.variant","01.W"
"AAB.variant","07.M"
"AAC.variant","11.A"
"AAD.variant","25.S"
"AAE.variant","01.W4"
"AAG.variant","M3.M"
"AAH.variant","unk"
"AAI.variant","01.W"
"AAK.variant","01.W4"
"AAL.variant","08.M"
"AAM.variant","08.M"
"AAN.variant","08.M"
"AAP.variant","08.M"
"AAQ.variant","07.M"
"AAR.variant","07.M"
"AAS.variant","M3.M"
"AAT.variant","M3.M"
"AAV.variant","M3.M"
"ABA.variant","M3.M"
"ABB.variant","26.A"
"ABC.variant","M3.M"
"ABD.variant","M3.M"
"ABE.variant","01.W"
"ABF.variant","M3.M"
"ABG.variant","M3.M"
"ABH.variant","M3.M"
"ABI.variant","M3.M"
"ABK.variant","M3.M"
"ABL.variant","unk"
"ABM.variant","02.A"
"ABP.variant","01.W"
"ABQ.variant","01.W"
"ABR.variant","01.W"
"ABS.variant","01.W"
"ABT.variant","01.W"
"ABV.variant","08.M"
"ACA.variant","M3.M"
"ACB.variant","M3.M"
"ACC.variant","21.E"
"ACD.variant","23.N"
"ACF.variant","01.W"
"ACG.variant","M1.M"
"ACH.variant","M1.M"
"ACI.variant","M3.M"
"ACK.variant","26.A"
"ACL.variant","M3.M"
"ACM.variant","26.A"
"ACN.variant","M3.M"
"ACP.variant","01.W1"
"ACQ.variant","18.F"
"ACR.variant","01.W"
"ACS.variant","M1.M"
"ACT.variant","01.W"
"ACV.variant","01.W"
"ADA.variant","M3.M"
"ADB.variant","01.W"
"ADC.variant","01.W"
"ADD.variant","01.W2"
"ADE.variant","unk"
"ADF.variant","13.A"
"ADG.variant","unk"
"ADH.variant","26.A"
"ADI.variant","01.W2"
"ADK.variant","M3.M"
"ADL.variant","08.M"
"ADM.variant","08.M"
"ADN.variant","25.S"
"ADP.variant","08.M"
"ADQ.variant","25.S"
"ADR.variant","01.W"
"ADS.variant","01.W"
"ADT.variant","M3.M"
"ADV.variant","13.A"
"AEA.variant","07.M"
"AEB.variant","11.A"
"AEC.variant","11.A"
"AEE.variant","M3.M"
"AEF.variant","25.S"
"AEG.variant","03.B"
"AEH.variant","03.B"
"AEI.variant","M3.M"
"AEK.variant","01.W4"
"AEL.variant","M3.M"
"AEM.variant","08.M"
"AEN.variant","06.A"
"AEP.variant","26.A"
"AEQ.variant","07.M"
"AER.variant","M2.M"
"AES.variant","01.W4"
"AET.variant","01.W4"
"AEV.variant","08.M"
"AFA.variant","07.M"
"AFB.variant","07.M"
"AFC.variant","08.M"
"AFD.variant","03.B"
"AFE.variant","08.M"
"AFF.variant","08.M"
"AFG.variant","M3.M"
"AFH.variant","26.A"
"AFI.variant","01.W4"
"AFK.variant","24.A"
"AFL.variant","06.A"
"AFM.variant","25.S"
"AFN.variant","25.S"
"AFP.variant","07.M"
"AFQ.variant","M2.M"
"AFR.variant","03.B"
"AFS.variant","unk"
"AFT.variant","08.M"
"AFV.variant","01.W4"
"AGA.variant","01.W"
"AGB.variant","11.A"
"AGC.variant","unk"
"AGE.variant","08.M"
"AGF.variant","01.W"
"AGG.variant","26.A"
"AGH.variant","01.W"
"AGI.variant","01.W"
"AGK.variant","08.M"
"AGL.variant","01.W"
"AGM.variant","03.B"
"AGN.variant","M1.M"
"AGP.variant","M3.M"
"AGR.variant","24.A"
"AGS.variant","01.W"
"AGT.variant","M3.M"
"AGV.variant","01.W"
"AHA.variant","M3.M"
"AHB.variant","unk"
"AHC.variant","03.B"
"AHD.variant","01.W"
"AHE.variant","01.W"
"AHF.variant","M1.M"
"AHG.variant","01.W"
"AHH.variant","24.A"
"AHI.variant","01.W"
"AHK.variant","01.W4"
"AHL.variant","02.A"
"AHM.variant","02.A"
"AHN.variant","01.W"
"AHP.variant","01.W4"
"AHQ.variant","26.A"
"AHR.variant","01.W"
"AHS.variant","13.A"
"AHT.variant","01.W"
"AHV.variant","08.M"
"AIA.variant","01.W4"
"AIB.variant","01.W4"
"AIC.variant","01.W4"
"AID.variant","02.A"
"AIE.variant","02.A"
"AIF.variant","01.W"
"AIG.variant","07.M"
"AII.variant","01.W"
"AIK.variant","01.W"
"AIL.variant","01.W"
"AIM.variant","01.W"
"AIN.variant","01.W"
"AIP.variant","01.W4"
"AIQ.variant","01.W"
"AIR.variant","01.W"
"AIT.variant","01.W"
"AKB.variant","13.A"
"AKC.variant","13.A"
"AKD.variant","13.A"
"AKE.variant","13.A"
"AKG.variant","13.A"
"AKH.variant","13.A"
"AKI.variant","M3.M"
"AKL.variant","26.A"
"AKM.variant","19.M"
"AKN.variant","23.N"
"AKP.variant","01.W"
"AKQ.variant","M3.M"
"AKR.variant","26.A"
"AKS.variant","M3.M"
"AKT.variant","08.M"
"AKV.variant","01.W"
"ALA.variant","26.A"
"ALB.variant","26.A"
"ALC.variant","26.A"
"ALD.variant","05.F"
"ALE.variant","01.W"
"ALG.variant","M3.M"
"ALH.variant","26.A"
"ALI.variant","unk"
"ALK.variant","26.A"
"ALL.variant","01.W"
"ALM.variant","01.W"
"ALN.variant","08.M"
"ALP.variant","08.M"
"ALQ.variant","01.W1"
"ALR.variant","M3.M"
"ALS.variant","01.W1"
"ALT.variant","01.W1"
"ALV.variant","08.M"
"AMA.variant","01.W1"
"AMB.variant","unk"
"AMC.variant","unk"
"AMD.variant","unk"
"AMF.variant","unk"
"AMG.variant","08.M"
"AMH.variant","17.T"
"AMI.variant","08.M"
"AMK.variant","08.M"
"AML.variant","08.M"
"AMM.variant","unk"
"AMN.variant","08.M"
"AMP.variant","M1.M"
"AMQ.variant","08.M"
"AMR.variant","01.W"
"AMS.variant","01.W"
"AMT.variant","01.W3"
"ANA.variant","M3.M"
"ANC.variant","23.N"
"AND.variant","23.N"
"ANE.variant","23.N"
"ANF.variant","23.N"
"ANG.variant","23.N"
"ANH.variant","23.N"
"ANI.variant","23.N"
"ANK.variant","23.N"
"ANL.variant","06.A"
"ANM.variant","06.A"
"ANN.variant","12.W"
"ANP.variant","08.M"
"ANQ.variant","01.W"
"ANR.variant","25.S"
"ANS.variant","25.S"
"ANT.variant","25.S"
"ANV.variant","25.S"
"APA.variant","25.S"
"APC.variant","25.S"
"APD.variant","25.S"
"APE.variant","25.S"
"APF.variant","25.S"
"APG.variant","03.B"
"APH.variant","03.B"
"API.variant","08.M"
"APK.variant","08.M"
"APL.variant","08.M"
"APM.variant","08.M"
"APN.variant","08.M"
"APP.variant","07.M"
"APQ.variant","13.A"
"APR.variant","13.A"
"APS.variant","01.W"
"APT.variant","01.W"
"APV.variant","01.W"
"AQA.variant","02.A"
"AQB.variant","01.W"
"AQC.variant","01.W4"
"AQD.variant","02.A"
"AQE.variant","01.W4"
"AQG.variant","07.M"
"AQH.variant","07.M"
"AQI.variant","08.M"
"AQM.variant","05.F"
"AQN.variant","25.S"
"AQP.variant","01.W4"
"AQQ.variant","01.W"
"AQR.variant","01.W"
"AQS.variant","26.A"
"AQT.variant","11.A"
"ARA.variant","M3.M"
"ARB.variant","M3.M"
"ARC.variant","01.W"
"ARE.variant","07.M"
"ARG.variant","24.A"
"ARH.variant","24.A"
"ARI.variant","24.A"
"ARK.variant","01.W"
"ARL.variant","01.W"
"ARM.variant","25.S"
"ARN.variant","05.F"
"ARP.variant","25.S"
"ARQ.variant","01.W"
"ARR.variant","05.F"
"ARS.variant","05.F"
"ART.variant","01.W4"
"ARV.variant","01.W"
"ASA.variant","01.W4"
"ASB.variant","07.M"
"ASC.variant","06.A"
"ASD.variant","01.W"
"ASE.variant","01.W"
"ASG.variant","01.W"
"ASH.variant","11.A"
"ASL.variant","08.M"
"ASM.variant","unk"
"ASN.variant","05.F"
"ASP.variant","08.M"
"ASR.variant","01.W"
"ASS.variant","01.W"
"AST.variant","M1.M"
"ASV.variant","M1.M"
"ATA.variant","01.W"
"ATB.variant","M3.M"
"ATC.variant","M3.M"
"ATD.variant","M3.M"
"ATE.variant","M3.M"
"ATH.variant","01.W"
"ATM.variant","01.W"
"ATN.variant","01.W"
"ATP.variant","13.A"
"ATQ.variant","02.A"
"ATR.variant","08.M"
"ATS.variant","08.M"
"ATV.variant","11.A"
"AVB.variant","02.A"
"AVC.variant","25.S"
"AVD.variant","25.S"
"AVH.variant","01.W"
"AVI.variant","23.N"
"AVK.variant","01.W"
"AVL.variant","25.S"
"AVM.variant","25.S"
"AVN.variant","06.A"
"AVP.variant","06.A"
"AVQ.variant","06.A"
"AVR.variant","06.A"
"AVS.variant","06.A"
"AVT.variant","06.A"
"AVV.variant","13.A"
"BAA.variant","13.A"
"BAB.variant","13.A"
"BAC.variant","13.A"
"BAD.variant","13.A"
"BAE.variant","13.A"
"BAF.variant","13.A"
"BAG.variant","15.C"
"BAH.variant","15.C"
"BAI.variant","18.F"
"BAK.variant","18.F"
"BAL.variant","16.C"
"BAM.variant","14.C"
"BAN.variant","20.C"
"BAP.variant","20.C"
"BAQ.variant","14.C"
"BAR.variant","01.W"
"BAS.variant","01.W"
"BAT.variant","01.W"
"BAV.variant","01.W"
"BBA.variant","01.W"
"BBB.variant","01.W"
"BBC.variant","08.M"
"BBD.variant","08.M"
"BBE.variant","08.M"
"BBF.variant","08.M"
"BBG.variant","11.A"
"BBH.variant","01.W1"
"BBI.variant","01.W1"
"BBK.variant","01.W1"
"BBL.variant","M3.M"
"BBM.variant","unk"
"BBP.variant","08.M"
"BBQ.variant","04.M"
"BBR.variant","unk"
"BBS.variant","04.M"
"BBT.variant","M3.M"
"BBV.variant","01.W"
"BCA.variant","01.W3"
"BCB.variant","10.F"
"BCC.variant","10.F"
"BCD.variant","10.F"
"BCE.variant","10.F"
"BCF.variant","10.F"
"BCG.variant","10.F"
"BCH.variant","10.F"
"BCI.variant","10.F"
"BCK.variant","10.F"
"BCL.variant","10.F"
"BCM.variant","10.F"
"BCN.variant","10.F"
"BCP.variant","10.F"
"BCQ.variant","10.F"
"BCR.variant","08.M"
"BCS.variant","08.M"
"BCT.variant","08.M"
"BCV.variant","M2.M"
"BDA.variant","M2.M"
"BDB.variant","M2.M"
"BDC.variant","M3.M"
"BDD.variant","M2.M"
"BDE.variant","M2.M"
"BDF.variant","M3.M"
"BDG.variant","M3.M"
"BDH.variant","M2.M"
"BDI.variant","M2.M"
"BDK.variant","M2.M"
"BDL.variant","08.M"
"BDM.variant","M3.M"
"BDN.variant","06.A"
"BDP.variant","10.F"
"BDQ.variant","10.F"
"BDR.variant","10.F"
"BDS.variant","10.F"
"BDT.variant","10.F"
"BDV.variant","10.F"
"BEA.variant","10.F"
"BEB.variant","10.F"
"BEC.variant","10.F"
"BED.variant","10.F"
"BEE.variant","10.F"
"BEF.variant","26.A"
"BEG.variant","unk"
"BEH.variant","26.A"
"BEI.variant","06.A"
"BEK.variant","06.A"
"BEM.variant","06.A"
"BEN.variant","06.A"
"BEP.variant","01.W1"
"BEQ.variant","01.W"
"BER.variant","01.W"
"BES.variant","01.W"
"BET.variant","01.W"
"BEV.variant","01.W"
"BFA.variant","unk"
"BFB.variant","01.W1"
"BFC.variant","01.W"
"BFD.variant","01.W1"
"BFE.variant","08.M"
"BFG.variant","08.M"
"BFH.variant","05.F"
"BFK.variant","01.W"
"BFL.variant","unk"
