kinship	sample
0.3125	A.BRY-97
0.644444444444444	A.Coopers
0.952914798206278	A.Muntons
0.946629213483146	A.S-33
0.480487804878049	A.T-58
0.938461538461538	A.Windson
0.36231884057971	AAL
0	AAM
0.178899082568807	AAN
0	AAP
0.594202898550725	ABM1
0.457692307692308	ABM2
0.375	ABM3
0.376811594202899	ABM4
0.375	ABM5
0.471014492753623	ABV
0.427536231884058	ADL
0	ADM
0	ADP
0	AEM
0	AEV
0	AFC
0	AFE
0	AFF
0	AFT
0	AGE
0	AGK
0	AHV
0	AKT
0	ALN
0	ALP
0.471014492753623	ALV
0.453846153846154	AMG
0.461685823754789	AMI
0.458646616541353	AMK
0.454022988505747	AML
0.583636363636364	AMN
0.461832061068702	AMQ
0.313725490196078	ANP
0	API
0.457854406130268	APK
0	APL
0	APM
0.444444444444444	APN
0.768115942028985	AQI
0	ASL
0.181564245810056	ASP
0	ATR
0.151428571428571	ATS
0.308823529411765	BBC
0.554545454545455	BBD
0.565693430656934	BBE
0	BBF
0.172131147540984	BBP
0	BCR
0	BCS
0	BCT
0.745989304812834	BDL
0.983695652173913	BE005
0.58695652173913	BE006
0.667883211678832	BE023
0.373188405797101	BE025
0.58695652173913	BE028
0.590579710144927	BE029
0.652173913043478	BE038
0.630434782608696	BE061
0.657608695652174	BFE
0.652173913043478	BFG
0.73731884057971	BFM
0.677536231884058	BMG
0.376811594202899	BML
0.307971014492754	BMM
0.375	BR001
0.416666666666667	BR002
0.25	BR003
0.66304347826087	BR004
0.36231884057971	BTC
0.652727272727273	BTD
0.373188405797101	BTE
0	BTF
0.409090909090909	CBF
0	CDR
0.981818181818182	CFI
0.983636363636364	CFN
0.588768115942029	CFP
0	CHG
0	CHH
0.171296296296296	CHI
0.0688073394495413	CHK
0.219047619047619	CHL
0	CHR
0.352	CIE
0.373188405797101	CKK
0.370909090909091	CKS
0.371376811594203	CLA
1	Jean-Talon
0.599206349206349	L.Brewferm
0	PYCC4226
0.404166666666667	Platinum
0.585144927536232	SP001
0.655797101449275	SP003
0	TUM480
0.47940074906367	TUM506
0.107142857142857	W.WLP045
0.373188405797101	WL006
0.378623188405797	WL007
0.470119521912351	YO1128
0.230569948186529	YO1133
0.603260869565217	YO1164
0.458015267175573	YO1201
0	YO367
0.081151832460733	YO465
0.494565217391304	YO707
0.380597014925373	YO721
0.274193548387097	YO734
0.425724637681159	YO807
