sample	Type2
A.1007	Beer
A.1187	Beer
A.1728	Beer
A.1945	Beer
A.1968	Beer
A.2565	Beer
A.3942	Beer
A.BRY-97	Beer
A.Coopers	Beer
A.Munich	Beer
A.Muntons	Beer
A.Nottingham	Beer
A.S-04	Beer
A.S-33	Beer
A.T-58	Beer
A.US-05	Beer
A.Windson	Beer
ABM1	Baking
ABM2	Baking
ABM3	Baking
ABM4	Baking
ABM5	Baking
CBS1483	Beer
CCY48.91	Beer
L.2112	Beer
L.2278	Beer
L.Brewferm	Beer
L.S-23	Beer
L.W-34-70	Beer
L.WLP820	Beer
RedStar	Baking
W.34.70a	Beer
W.WLP045	Spirits
W.WLP070	Spirits
YMD1864	Beer
YMD1865	Beer
YMD1866	Beer
YMD1867	Beer
YMD1868	Beer
YMD1869	Beer
YMD1870	Beer
YMD1871	Beer
YMD1872	Beer
YMD1873	Beer
YMD1874	Beer
YMD1875	Beer
YMD1950	Beer
YMD1952	Beer
YMD1981	Beer
YO1128	Wild
YO1133	Wild
YO1164	Wild
YO1201	Wild
YO367	Wild
YO465	Wild
YO707	Wild
YO721	Wild
YO734	Wild
YO807	Wild
YS9	Baking
BE001	Beer
BE002	Beer
BE003	Beer
BE004	Beer
BE005	Beer
BE006	Beer
BE007	Beer
BE008	Beer
BE009	Beer
BE010	Beer
BE011	Beer
BE012	Beer
BE013	Beer
BE014	Beer
BE015	Beer
BE016	Beer
BE017	Beer
BE018	Beer
BE019	Beer
BE020	Beer
BE021	Beer
BE022	Beer
BE023	Beer
BE024	Beer
BE025	Beer
BE026	Beer
BE027	Beer
BE028	Beer
BE029	Beer
BE030	Beer
BE031	Beer
BE032	Beer
BE033	Beer
BE034	Beer
BE035	Beer
BE036	Beer
BE037	Beer
BE038	Beer
BE039	Beer
BE040	Beer
BE041	Beer
BE042	Beer
BE043	Beer
BE044	Beer
BE045	Beer
BE046	Beer
BE047	Beer
BE048	Beer
BE049	Beer
BE050	Beer
BE051	Beer
BE052	Beer
BE053	Beer
BE054	Beer
BE055	Beer
BE056	Beer
BE057	Beer
BE058	Beer
BE059	Beer
BE060	Beer
BE061	Beer
BE062	Beer
BE063	Beer
BE064	Beer
BE065	Beer
BE066	Beer
BE067	Beer
BE068	Beer
BE069	Beer
BE070	Beer
BE071	Beer
BE072	Beer
BE073	Beer
BE074	Beer
BE075	Beer
BE076	Beer
BE077	Beer
BE078	Beer
BE079	Beer
BE080	Beer
BE081	Beer
BE082	Beer
BE083	Beer
BE084	Beer
BE085	Beer
BE086	Beer
BE087	Beer
BE088	Beer
BE089	Beer
BE090	Beer
BE091	Beer
BE092	Beer
BE093	Beer
BE094	Beer
BE095	Beer
BE096	Beer
BE097	Beer
BE098	Beer
BE099	Beer
BE100	Beer
BE101	Beer
BE102	Beer
BI002	Bio-ethanol
BI005	Bio-ethanol
BR001	Baking
BR002	Baking
BR003	Baking
BR004	Baking
LA001	Lab
LA002	Lab
SA002	Sake
SP001	Spirits
SP002	Spirits
SP003	Spirits
SP004	Spirits
SP005	Spirits
SP006	Spirits
SP007	Spirits
SP008	Spirits
SP009	Spirits
SP010	Spirits
SP011	Spirits
WI001	Wine
WI002	Wine
WI003	Wine
WI004	Wine
WI005	Wine
WI006	Wine
WI007	Wine
WI008	Wine
WI009	Wine
WI010	Wine
WI011	Wine
WI012	Wine
WI013	Wine
WI014	Wine
WI015	Wine
WI016	Wine
WI017	Wine
WI018	Wine
WI019	Wine
WL001	Wild
WL002	Wild
WL003	Wild
WL005	Wild
WL006	Wild
WL007	Wild
FostersB	Beer
FostersO	Beer
NCYC1044	Beer
Platinum	Baking
PYCC4226	Baking
TUM148	Beer
TUM149	Beer
TUM165	Beer
TUM174	Beer
TUM175	Beer
TUM177	Beer
TUM205	Beer
TUM208	Beer
TUM210	Beer
TUM211	Beer
TUM213	Beer
TUM308	Beer
TUM338	Beer
TUM381	Beer
TUM480	Beer
TUM503	Beer
TUM506	Beer
TUM507	Beer
TUM508	Beer
TUM510	Beer
TUM513	Beer
W205	Beer
AAC	Beer
AAL	Baking
AAM	Baking
AAN	Baking
AAP	Baking
ABV	Wild
ADL	Baking
ADM	Baking
ADP	unk
AEB	Beer
AEC	Beer
AEM	Beer
AEV	Wild
AFC	Wild
AFE	Wild
AFF	Baking
AFT	Clinical
AGB	Beer
AGE	Baking
AGK	Wild
AHV	Beer
AKT	Wild
ALN	Wild
ALP	Wild
ALV	Wild
AMG	Wild
AMI	Wild
AMK	Wild
AML	Wild
AMN	Wild
AMQ	Wild
ANP	Wild
API	Baking
APK	Baking
APL	Baking
APM	Baking
APN	Baking
AQI	Wild
AQT	Beer
ASH	Beer
ASL	Baking
ASP	unk
ATR	Wild
ATS	Wild
ATV	Beer
BBC	Wild
BBD	Wild
BBE	Wild
BBF	Wild
BBG	Wild
BBP	Wild
BCR	Wild
BCS	Wild
BCT	Wild
BDL	Beer
BFE	Wild
BFG	Wild
BFM	Wild
BMG	Clinical
BML	Clinical
BMM	Clinical
BRP	Beer
BRQ	Beer
BSI	Beer
BTC	Baking
BTD	Baking
BTE	Baking
BTF	Baking
CBF	Baking
CBR	Beer
CDR	Wild
CFC	Beer
CFD	Beer
CFG	Beer
CFH	Beer
CFI	Beer
CFM	Beer
CFN	Beer
CFP	Beer
CGC	Wild
CHG	Baking
CHH	Baking
CHI	Baking
CHK	Beer
CHL	Baking
CHR	Clinical
CIE	Clinical
CKK	Clinical
CKS	Clinical
CLA	Clinical
Jean-Talon	Beer
