gr	sample	Type2	Groups2	Geographic origin	Substrate	Type	Country
Group1	A.T-58	Beer	Beer/baking	Belgium	Commercial Ale	Ale	Belgium
Group1	TUM506	Beer	Beer/Bread	Great Britain	British ale	Ale	UK
Group1	BE028	Beer	Mixed	Belgium	Beer (Ale refermentation)	Ale	Belgium
Group1	BE006	Beer	Mixed	Unknown	Beer (Ale refermentation)	Ale	unk
Group1	CFP	Beer	08.M	unk	Carlsberg Beer	Carlesberg	unk
Group1	BE029	Beer	Mixed	Belgium	Beer (Ale refermentation)	Ale	Belgium
Group1	SP001	Spirits	Mixed	Unknown	Spirits	Spirits	unk
Group1	AMN	Wild	08.M	Tuchih, Nantou, Taiwan	Leaf of Wendlandia formosana	Tree	Taiwan
Group1	ABM1	Baking	Beer/baking	unk	Commercial Baking	Baking	unk
Group1	BBC	Wild	08.M	Laksarska Nova Ves, Slovakia	Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.	Fruit	Slovakia
Group1	ALV	Wild	08.M	Male Zaluzie, Slovakia	Fruit of plum tree (Prunus domestica L., 'Stanley')	Fruit	Slovakia
Group1	ABV	Wild	08.M	Tijuca forest, Rio de Janeiro, Brazil	Poluted stream	Water	Brazil
Group1	CHI	Baking	08.M	USA	Bakery	Baking	USA
Group1	AAN	Baking	08.M	Czech Republic	Bakery	Baking	Czech Republic
Group1	ALP	Wild	08.M	Bratislava, Deninska Nova Ves, Slovakia	River water Morava	Water	Slovakia
Group1	ALN	Wild	08.M	Bratislava, Deninska Nova Ves, Slovakia	River water (Morava)	Water	Slovakia
Group1	BBF	Wild	08.M	Bratislava, Slovakia	River water (Danube)	Water	Slovakia
Group1	AAP	Baking	08.M	Australia	Bakery	Baking	Australia
Group1	BBE	Wild	08.M	Jakubov, Slovakia	Sediment of fresh water lake	Water	Slovakia
Group1	BBD	Wild	08.M	Jakubov, Slovakia	Fish pond water	Water	Slovakia
Group2	A.Windson	Beer	Beer/baking	England	Commercial Ale	Ale	UK
Group2	A.S-33	Beer	Beer/baking	England	Commercial Ale	Ale	UK
Group2	A.Coopers	Beer	Beer/baking	Australia	Commercial Ale	Ale	Australia
Group2	A.Muntons	Beer	Beer/baking	England	Commercial Ale	Ale	UK
Group2	CFN	Beer	08.M	unk	Carlsberg Beer	Carlesberg	unk
Group2	BE005	Beer	Mixed	Belgium	Beer (Ale)	Ale	Belgium
