sampleID	Groups	group
A.1007	Ale2	A.1007_Ale2
A.1187	Ale1	A.1187_Ale1
A.1728	Ale1	A.1728_Ale1
A.1945	Ale1	A.1945_Ale1
A.1968	Ale1	A.1968_Ale1
A.2565	Ale2	A.2565_Ale2
A.3942	Ale2	A.3942_Ale2
A.BRY-97	Beer/baking	A.BRY-97_Beer/baking
A.Coopers	Beer/baking	A.Coopers_Beer/baking
A.Munich	Ale1	A.Munich_Ale1
A.Muntons	Beer/baking	A.Muntons_Beer/baking
A.Nottingham	Ale1	A.Nottingham_Ale1
A.S-04	Ale1	A.S-04_Ale1
A.S-33	Beer/baking	A.S-33_Beer/baking
A.T-58	Beer/baking	A.T-58_Beer/baking
A.US-05	Ale1	A.US-05_Ale1
A.Windson	Beer/baking	A.Windson_Beer/baking
AAC	11.A	AAC_11.A
AAL	08.M	AAL_08.M
AAM	08.M	AAM_08.M
AAN	08.M	AAN_08.M
AAP	08.M	AAP_08.M
ABM1	Beer/baking	ABM1_Beer/baking
ABM2	Beer/baking	ABM2_Beer/baking
ABM3	Beer/baking	ABM3_Beer/baking
ABM4	Beer/baking	ABM4_Beer/baking
ABM5	Beer/baking	ABM5_Beer/baking
ABV	08.M	ABV_08.M
ADL	08.M	ADL_08.M
ADM	08.M	ADM_08.M
ADP	08.M	ADP_08.M
AEB	11.A	AEB_11.A
AEC	11.A	AEC_11.A
AEM	08.M	AEM_08.M
AEV	08.M	AEV_08.M
AFC	08.M	AFC_08.M
AFE	08.M	AFE_08.M
AFF	08.M	AFF_08.M
AFT	08.M	AFT_08.M
AGB	11.A	AGB_11.A
AGE	08.M	AGE_08.M
AGK	08.M	AGK_08.M
AHV	08.M	AHV_08.M
AKT	08.M	AKT_08.M
ALN	08.M	ALN_08.M
ALP	08.M	ALP_08.M
ALV	08.M	ALV_08.M
AMG	08.M	AMG_08.M
AMI	08.M	AMI_08.M
AMK	08.M	AMK_08.M
AML	08.M	AML_08.M
AMN	08.M	AMN_08.M
AMQ	08.M	AMQ_08.M
