"Dataset","Reference","Strain name","Geographic origin (from reference)","Substrate (from reference)","Substrate cd (from reference)","Type/style","Origin","Source","Genetic group","Genetic group general","Accessions","Coverage","BB_clade"
"Fay","[1]","A.1007","Germany","Commercial Ale","Wyeast 1007 German Ale Yeast","Ale","Germany","Beer","Ale2","Ale2","SRR8173000,SRS4029020,SAMN10375221",15.1,
"Fay","[1]","A.1187","Britain","Commercial Ale","Wyeast 1187 Ringwood British Ale Yeast","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172999,SRS4029023,SAMN10375222",8.5,
"Fay","[1]","A.1728","Scotland","Commercial Ale","Wyeast 1728 Scottish Ale","Ale","UK/IE","Beer","Ale1","Ale1","SRR8172994,SRS4029049,SAMN10375324",20.2,
"Fay","[1]","A.1945","England","Commercial Ale","Wyeast 1945 NB NeoBritannia","Ale","UK/IE","Beer","Ale1","Ale1","SRR8173004,SRS4029022,SAMN10375223",9.5,
"Fay","[1]","A.1968","England","Commercial Ale","Wyeast 1968 London ESB","Bitter","UK/IE","Beer","Ale1","Ale1","SRR8172993,SRS4029048,SAMN10375325",6.3,
"Fay","[1]","A.2565","Germany","Commercial Ale","Wyeast 2565 Kolsch (German)","Kolsch","Germany","Beer","Ale2","Ale2","SRR8173087,SRS4028983,SAMN10375326",20.7,
"Fay","[1]","A.3942","Belgium","Commercial Wheat","Wyeast 3942 Belgian Wheat Yeast","Wheat beer","Belgium","Beer","Ale2","Ale2","SRR8173003,SRS4028996,SAMN10375224",20.2,
"Fay","[1]","A.BRY-97","American","Commercial Ale","Danstar American West Coast Ale Yeast","Ale","US/CA","Beer","Beer/baking","Beer/baking","SRR8172949,SRS4028997,SAMN10375225",27.2,"clade1D"
"Fay","[1]","A.Coopers","Australia","Commercial Ale","Coopers Australian Ale Yeast","Ale","Other","Beer","Beer/baking","Beer/baking","SRR8172950,SRS4028994,SAMN10375226",10.7,"clade1B"
"Fay","[1]","A.Munich","Germany","Commercial Wheat","Danstar Munich (German) Wheat Beer Yeast","Wheat beer","Germany","Beer","Ale1","Ale1","SRR8172947,SRS4028995,SAMN10375227",15,
