"strain"	"concentration"	"median_max_slope"	"median_max_size"	"sd_slope"	"sd_size"
"1"	"BY_1n"	0	0.154286	1.0902	0.0024353881792921	0.018229755895239
"2"	"BY_1n"	2	0.103755451661048	1.1008	0.0071270219866837	0.0338445071860511
"3"	"BY_1n"	4	0.0220377182269888	0.37571	0.00261271966633866	0.0279812950021975
"4"	"BY_1n"	6	0.00929135593490707	0.3043	0.00158057519337693	0.0179539708699775
"5"	"BY_1n"	8	0.00568331689112819	0.25719	0.0011768820659993	0.00828816666499092
"6"	"BY_1n"	10	0.00490143466731484	0.232125	0.000871421068969936	0.00630887945676568
"7"	"BY_2n"	0	0.152446019157311	1.0309	0.00694384772594288	0.0164762112062903
"8"	"BY_2n"	2	0.114293036517198	1.049	0.00785311985562904	0.0312183754267533
"9"	"BY_2n"	4	0.0278199999999999	0.369515	0.0031352653664288	0.0156022209385166
"10"	"BY_2n"	6	0.0118240542118507	0.318065	0.00127209016308693	0.0135102585361748
"11"	"BY_2n"	8	0.00715082781333512	0.26444	0.000807503595619051	0.00855957014524844
"12"	"BY_2n"	10	0.00580272665948701	0.242815	0.000921753578196718	0.00811677583773262
"13"	"cot1"	0	0.155828109739268	1.0973	0.00357403338756768	0.0194138095179695
"14"	"cot1"	2	0.0814281133368699	0.911735	0.00891751201992862	0.0711199701912199
"15"	"cot1"	4	0.0148178796608033	0.30649	0.00315036958810025	0.0333763519576361
"16"	"cot1"	6	0.00682399999999999	0.24676	0.00151078121711512	0.0155380187497205
"17"	"cot1"	8	0.00617	0.22834	0.0013499728289718	0.0124044595475445
"18"	"cot1"	10	0.005422	0.221975	0.00117390652203655	0.0100435651040853
"19"	"Jean_Talon"	0	0.20806	1.12285	0.00747939457088027	0.0193589956941396
"20"	"Jean_Talon"	2	0.195266613773541	1.1408	0.00863600839890396	0.0291660486329078
"21"	"Jean_Talon"	4	0.185051672550898	0.98785	0.0203797151538227	0.137641376046594
"22"	"Jean_Talon"	6	0.0462939999999999	0.6182	0.00681843750251216	0.0785052860708846
"23"	"Jean_Talon"	8	0.0242292520018509	0.52326	0.00780218281571686	0.0681035850613922
"24"	"Jean_Talon"	10	0.0156455969727445	0.353775	0.00326715107626443	0.038197785252738
"25"	"LL13_40"	0	0.245369103757035	1.2106	0.0071661393778173	0.0228050393866919
"26"	"LL13_40"	2	0.159265684808396	1.10495	0.00992817113471861	0.0331497360472146
"27"	"LL13_40"	4	0.117652	0.831355	0.0144637525650211	0.108479625736818
"28"	"LL13_40"	6	0.0185908198476838	0.45099	0.00568743229825064	0.0621510071174578
"29"	"LL13_40"	8	0.00588537823294552	0.2669	0.00120163830494389	0.0246164979521574
"30"	"LL13_40"	10	0.00473200000000004	0.21873	0.00114270107327178	0.00963899520548841
"31"	"LL13_54"	0	0.244010512525148	1.2066	0.0105779241336374	0.01163669534582
"32"	"LL13_54"	2	0.161124	1.1224	0.00720578754357772	0.0328911625125742
"33"	"LL13_54"	4	0.116304	0.88995	0.0102104992467517	0.101589275270572
"34"	"LL13_54"	6	0.0172641875652118	0.437315	0.0041678500358543	0.0369017283518962
"35"	"LL13_54"	8	0.00550712019200239	0.26294	0.00129438645361525	0.00975209858367492
"36"	"LL13_54"	10	0.00474600000000002	0.217425	0.0015073031704804	0.00664516096763008
"37"	"London"	0	0.207402	1.089	0.00894275593205775	0.0102130081618632
"38"	"London"	2	0.187005442561287	1.10735	0.00358576273712166	0.0269302505160488
"39"	"London"	4	0.137646052906055	0.7671	0.0182244756354171	0.0879143544268268
"40"	"London"	6	0.032078	0.529185	0.00420435347904544	0.053061703956674
"41"	"London"	8	0.019898	0.41608	0.00422424535868477	0.0394248140678649
"42"	"London"	10	0.00932093822153731	0.30936	0.0025178875197696	0.0303665659366632
"43"	"Windsor"	0	0.20555	1.09735	0.00463230198867536	0.0189393015409001
"44"	"Windsor"	2	0.187395123474888	1.1145	0.00514733273677583	0.0250234140356587
"45"	"Windsor"	4	0.142144920241185	0.99729	0.0132053337625697	0.103116389224923
"46"	"Windsor"	6	0.031196	0.56163	0.00438677165073513	0.0516612034592415
"47"	"Windsor"	8	0.0228022563170839	0.48181	0.00338866381936451	0.0425435638702932
"48"	"Windsor"	10	0.00873400000000001	0.291675	0.00191787131711261	0.0200126822290267
