"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"1"	1	"B10"	"Jean_Talon"	"0"	0.205872	1.1238
"2"	1	"B11"	"Windsor"	"0"	0.200524	1.1017
"3"	1	"B2"	"BY_1n"	"0"	0.148936	1.0968
"4"	1	"B3"	"cot1"	"0"	0.149334104473447	1.0993
"5"	1	"B4"	"BY_2n"	"0"	0.146383638147625	1.0355
"6"	1	"B5"	"LL13_40"	"0"	0.23128	1.1876
"7"	1	"B6"	"LL13_54"	"0"	0.23412	1.192
"8"	1	"B7"	"Jean_Talon"	"0"	0.196604	1.0926
"9"	1	"B8"	"London"	"0"	0.202283124410571	1.0778
"10"	1	"B9"	"Windsor"	"0"	0.198448	1.0759
"11"	1	"C10"	"Jean_Talon"	"2"	0.193303079531708	1.1186
"12"	1	"C11"	"Windsor"	"2"	0.182115624825579	1.1226
"13"	1	"C2"	"BY_1n"	"2"	0.0940804630867624	1.0559
"14"	1	"C3"	"cot1"	"2"	0.0829322266737395	0.90902
"15"	1	"C4"	"BY_2n"	"2"	0.0994231582762369	1.0306
"16"	1	"C5"	"LL13_40"	"2"	0.157743497854246	1.1151
"17"	1	"C6"	"LL13_54"	"2"	0.153889510351991	1.1163
"18"	1	"C7"	"Jean_Talon"	"2"	0.178448603383137	1.1603
"19"	1	"C8"	"London"	"2"	0.187150885122575	1.0912
"20"	1	"C9"	"Windsor"	"2"	0.183410914812092	1.094
"21"	1	"D10"	"Jean_Talon"	"4"	0.169892	1.0968
"22"	1	"D11"	"Windsor"	"4"	0.135374789640271	1.0241
"23"	1	"D2"	"BY_1n"	"4"	0.0240320319739385	0.41557
"24"	1	"D3"	"cot1"	"4"	0.021316824736572	0.37633
"25"	1	"D4"	"BY_2n"	"4"	0.0262980809222488	0.38495
"26"	1	"D5"	"LL13_40"	"4"	0.107808243421683	0.88982
"27"	1	"D6"	"LL13_54"	"4"	0.132796	1.049
"28"	1	"D7"	"Jean_Talon"	"4"	0.171312	1.1329
"29"	1	"D8"	"London"	"4"	0.121408	0.72533
"30"	1	"D9"	"Windsor"	"4"	0.138461840482369	1.0129
"31"	1	"E10"	"Jean_Talon"	"6"	0.0564159999999999	0.72783
"32"	1	"E11"	"Windsor"	"6"	0.02676	0.54235
"33"	1	"E2"	"BY_1n"	"6"	0.0115694186712653	0.33348
"34"	1	"E3"	"cot1"	"6"	0.010336	0.28233
"35"	1	"E4"	"BY_2n"	"6"	0.0110254782540621	0.30705
"36"	1	"E5"	"LL13_40"	"6"	0.016048	0.42055
"37"	1	"E6"	"LL13_54"	"6"	0.0190120000000001	0.4797
"38"	1	"E7"	"Jean_Talon"	"6"	0.0406999999999999	0.7396
"39"	1	"E8"	"London"	"6"	0.0263359999999999	0.47222
"40"	1	"E9"	"Windsor"	"6"	0.0289959999999999	0.53915
"41"	1	"F10"	"Jean_Talon"	"8"	0.023764	0.51832
"42"	1	"F11"	"Windsor"	"8"	0.023412512634168	0.4831
"43"	1	"F2"	"BY_1n"	"8"	0.00777599999999998	0.2681
"44"	1	"F3"	"cot1"	"8"	0.00858799999999994	0.24927
"45"	1	"F4"	"BY_2n"	"8"	0.00807416090881474	0.2643
"46"	1	"F5"	"LL13_40"	"8"	0.00656000000000001	0.23772
"47"	1	"F6"	"LL13_54"	"8"	0.00834400000000004	0.26645
"48"	1	"F7"	"Jean_Talon"	"8"	0.0326200000000001	0.5589
"49"	1	"F8"	"London"	"8"	0.0213360000000001	0.3947
"50"	1	"F9"	"Windsor"	"8"	0.020075395619192	0.4375
"51"	1	"G10"	"Jean_Talon"	"10"	0.0185640000000001	0.4076
"52"	1	"G11"	"Windsor"	"10"	0.00865600000000001	0.292
"53"	1	"G2"	"BY_1n"	"10"	0.00666246669011632	0.24217
"54"	1	"G3"	"cot1"	"10"	0.00724800000000003	0.23515
"55"	1	"G4"	"BY_2n"	"10"	0.00718800000000005	0.2441
"56"	1	"G5"	"LL13_40"	"10"	0.00727599999999997	0.20993
"57"	1	"G6"	"LL13_54"	"10"	0.00835600000000004	0.22572
"58"	1	"G7"	"Jean_Talon"	"10"	0.0116774310995181	0.322
"59"	1	"G8"	"London"	"10"	0.0109319999999999	0.3076
"60"	1	"G9"	"Windsor"	"10"	0.00881200000000002	0.29135
"61"	2	"B10"	"London"	"0"	0.206436	1.0873
"62"	2	"B11"	"LL13_40"	"0"	0.245346207514071	1.2024
"63"	2	"B2"	"BY_1n"	"0"	0.154540770369269	1.0894
"64"	2	"B3"	"cot1"	"0"	0.15038263730859	1.063
"65"	2	"B4"	"BY_2n"	"0"	0.147208	1.0099
"66"	2	"B5"	"LL13_40"	"0"	0.247928	1.1892
"67"	2	"B6"	"LL13_54"	"0"	0.245753025050296	1.1995
"68"	2	"B7"	"Jean_Talon"	"0"	0.207572	1.0924
"69"	2	"B8"	"London"	"0"	0.20774	1.0945
"70"	2	"B9"	"Windsor"	"0"	0.206424	1.0774
"71"	2	"C10"	"London"	"2"	0.18686	1.1174
"72"	2	"C11"	"LL13_40"	"2"	0.173088	1.1533
"73"	2	"C2"	"BY_1n"	"2"	0.111448	1.1075
"74"	2	"C3"	"cot1"	"2"	0.09098	0.99053
"75"	2	"C4"	"BY_2n"	"2"	0.117976	1.0472
"76"	2	"C5"	"LL13_40"	"2"	0.157412	1.0948
"77"	2	"C6"	"LL13_54"	"2"	0.160684	1.1023
"78"	2	"C7"	"Jean_Talon"	"2"	0.191636	1.1376
"79"	2	"C8"	"London"	"2"	0.18532	1.1016
"80"	2	"C9"	"Windsor"	"2"	0.185268	1.1064
"81"	2	"D10"	"London"	"4"	0.132215992861648	0.7671
"82"	2	"D11"	"LL13_40"	"4"	0.133926065854577	0.9498
"83"	2	"D2"	"BY_1n"	"4"	0.0236360000000001	0.39875
"84"	2	"D3"	"cot1"	"4"	0.0134800000000001	0.28685
"85"	2	"D4"	"BY_2n"	"4"	0.0263501013524753	0.37668
"86"	2	"D5"	"LL13_40"	"4"	0.0978159999999998	0.6715
"87"	2	"D6"	"LL13_54"	"4"	0.112012	0.82378
"88"	2	"D7"	"Jean_Talon"	"4"	0.202512319118762	0.89817
"89"	2	"D8"	"London"	"4"	0.137646052906055	0.7508
"90"	2	"D9"	"Windsor"	"4"	0.145828	0.90512
"91"	2	"E10"	"London"	"6"	0.03056	0.4986
"92"	2	"E11"	"LL13_40"	"6"	0.0186776396953675	0.51048
"93"	2	"E2"	"BY_1n"	"6"	0.00982471984236877	0.31782
"94"	2	"E3"	"cot1"	"6"	0.00685200000000001	0.2462
"95"	2	"E4"	"BY_2n"	"6"	0.0116521084237014	0.3248
"96"	2	"E5"	"LL13_40"	"6"	0.0105857093059174	0.3544
"97"	2	"E6"	"LL13_54"	"6"	0.013328	0.41878
"98"	2	"E7"	"Jean_Talon"	"6"	0.0419120000000001	0.606
"99"	2	"E8"	"London"	"6"	0.032052	0.52642
"100"	2	"E9"	"Windsor"	"6"	0.0281400000000001	0.50175
"101"	2	"F10"	"London"	"8"	0.017564110216288	0.3918
"102"	2	"F11"	"LL13_40"	"8"	0.00659600000000004	0.29997
"103"	2	"F2"	"BY_1n"	"8"	0.00526399999999997	0.25798
"104"	2	"F3"	"cot1"	"8"	0.00473199999999999	0.2225
"105"	2	"F4"	"BY_2n"	"8"	0.00633199999999996	0.26458
"106"	2	"F5"	"LL13_40"	"8"	0.00420000000000006	0.23192
"107"	2	"F6"	"LL13_54"	"8"	0.00669200000000005	0.27992
"108"	2	"F7"	"Jean_Talon"	"8"	0.02248	0.4818
"109"	2	"F8"	"London"	"8"	0.0184599999999999	0.41428
"110"	2	"F9"	"Windsor"	"8"	0.01972	0.45697
"111"	2	"G10"	"London"	"10"	0.00800625864985839	0.29345
"112"	2	"G11"	"LL13_40"	"10"	0.00467199999999998	0.23065
"113"	2	"G2"	"BY_1n"	"10"	0.00461600000000004	0.2351
"114"	2	"G3"	"cot1"	"10"	0.00390671583289431	0.21503
"115"	2	"G4"	"BY_2n"	"10"	0.00514286310845912	0.2394
"116"	2	"G5"	"LL13_40"	"10"	0.00328800000000003	0.2036
"117"	2	"G6"	"LL13_54"	"10"	0.00491599999999999	0.23005
"118"	2	"G7"	"Jean_Talon"	"10"	0.0129571262197416	0.3605
"119"	2	"G8"	"London"	"10"	0.00956987644307454	0.31245
"120"	2	"G9"	"Windsor"	"10"	0.00686400000000002	0.28378
"121"	3	"B10"	"LL13_54"	"0"	0.242268	1.2232
"122"	3	"B11"	"BY_2n"	"0"	0.152406041817855	1.0467
"123"	3	"B2"	"BY_1n"	"0"	0.156029397301999	1.1264
