chrom	start	stop	cn	type	midpoint	win_stop	species
chrref|NC_001133|	0	250	0.717256	neutral	125.0	250	Jean-Talon
chrref|NC_001133|	250	500	0.623053	neutral	375.0	500	Jean-Talon
chrref|NC_001133|	500	750	1.02143	neutral	625.0	750	Jean-Talon
chrref|NC_001133|	750	1000	3.36523	losses	875.0	1000	Jean-Talon
chrref|NC_001133|	1000	1250	4.31755	losses	1125.0	1250	Jean-Talon
chrref|NC_001133|	1250	1500	7.37144	losses	1375.0	1500	Jean-Talon
chrref|NC_001133|	1500	1750	1.26318	losses	1625.0	1750	Jean-Talon
chrref|NC_001133|	1750	2000	3.48013	losses	1875.0	2000	Jean-Talon
chrref|NC_001133|	2000	2250	6.52266	losses	2125.0	2250	Jean-Talon
chrref|NC_001133|	2250	2500	13.4699	losses	2375.0	2500	Jean-Talon
chrref|NC_001133|	2500	2750	4.77773	gains	2625.0	2750	Jean-Talon
chrref|NC_001133|	2750	3000	7.88968	gains	2875.0	3000	Jean-Talon
chrref|NC_001133|	3000	3250	7.14741	gains	3125.0	3250	Jean-Talon
chrref|NC_001133|	3250	3500	7.25419	gains	3375.0	3500	Jean-Talon
chrref|NC_001133|	3500	3750	7.58323	gains	3625.0	3750	Jean-Talon
chrref|NC_001133|	3750	4000	8.95259	gains	3875.0	4000	Jean-Talon
chrref|NC_001133|	4000	4250	7.4089	gains	4125.0	4250	Jean-Talon
chrref|NC_001133|	4250	4500	6.64568	gains	4375.0	4500	Jean-Talon
chrref|NC_001133|	4500	4750	7.09797	gains	4625.0	4750	Jean-Talon
chrref|NC_001133|	4750	5000	7.80298	gains	4875.0	5000	Jean-Talon
chrref|NC_001133|	5000	5250	6.91751	gains	5125.0	5250	Jean-Talon
chrref|NC_001133|	5250	5500	6.88592	gains	5375.0	5500	Jean-Talon
chrref|NC_001133|	5500	5750	7.92327	gains	5625.0	5750	Jean-Talon
chrref|NC_001133|	5750	6000	6.59793	gains	5875.0	6000	Jean-Talon
chrref|NC_001133|	6000	6250	7.04004	gains	6125.0	6250	Jean-Talon
chrref|NC_001133|	6250	6500	6.32922	gains	6375.0	6500	Jean-Talon
chrref|NC_001133|	6500	6750	9.24887	gains	6625.0	6750	Jean-Talon
chrref|NC_001133|	6750	7000	8.87246	gains	6875.0	7000	Jean-Talon
chrref|NC_001133|	7000	7250	7.15351	gains	7125.0	7250	Jean-Talon
chrref|NC_001133|	7250	7500	7.25596	gains	7375.0	7500	Jean-Talon
chrref|NC_001133|	7500	7750	7.79865	gains	7625.0	7750	Jean-Talon
chrref|NC_001133|	7750	8000	6.93778	gains	7875.0	8000	Jean-Talon
chrref|NC_001133|	8000	8250	8.02274	gains	8125.0	8250	Jean-Talon
chrref|NC_001133|	8250	8500	7.23237	gains	8375.0	8500	Jean-Talon
chrref|NC_001133|	8500	8750	5.49768	gains	8625.0	8750	Jean-Talon
chrref|NC_001133|	8750	9000	6.41408	gains	8875.0	9000	Jean-Talon
chrref|NC_001133|	9000	9250	5.48388	gains	9125.0	9250	Jean-Talon
chrref|NC_001133|	9250	9500	6.50134	gains	9375.0	9500	Jean-Talon
